,lead_time,no_of_special_requests,avg_price_per_room,arrival_month,Unnamed: 0,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,booking_status
0,38,1,126.77,6,35808,17,4,5,2,0,0
1,71,0,120.0,6,27185,14,3,3,0,0,1
2,271,0,95.0,9,19831,21,3,3,0,1,0
3,304,0,89.0,11,32580,3,3,3,0,0,0
4,39,0,40.67,3,19030,4,3,2,1,0,1
5,62,0,143.1,5,26525,7,4,1,0,0,0
6,4,0,135.0,4,34731,10,4,2,2,0,0
7,156,0,108.9,8,22851,11,4,1,0,0,0
8,89,0,96.3,4,30115,3,4,0,1,0,0
9,25,1,104.0,6,13045,1,4,2,0,3,1
10,101,2,85.28,4,3351,9,4,4,2,0,1
11,6,1,80.3,1,8193,16,4,1,0,0,1
12,183,1,112.0,8,3243,9,4,3,0,0,0
13,1,1,90.33,1,5408,17,4,4,2,0,1
14,71,0,98.0,5,31182,10,3,3,0,1,1
15,148,0,90.9,8,8956,22,4,4,1,3,0
16,145,1,112.0,7,29720,4,3,4,1,0,1
17,40,1,83.9,3,9674,5,4,3,2,0,1
18,89,2,79.2,12,2835,17,4,1,2,3,1
19,70,0,52.0,1,17581,27,3,5,2,0,1
20,6,3,110.5,12,34266,28,4,4,0,0,1
21,99,0,65.0,10,9930,30,3,2,2,0,0
22,77,1,76.5,7,22894,13,4,2,1,0,0
23,221,0,73.0,8,21514,12,3,1,0,1,1
24,1,2,65.0,7,32804,31,2,1,2,0,1
25,3,0,72.5,7,16648,11,3,1,2,1,1
26,4,1,65.0,10,18754,24,2,1,1,0,1
27,54,0,75.0,11,21457,12,3,1,2,0,1
28,55,2,142.2,10,8689,18,4,2,0,0,1
29,55,2,159.3,5,101,13,4,2,1,0,1
30,3,0,138.5,7,31537,11,3,1,2,1,1
31,174,0,131.75,8,8204,16,4,8,2,1,0
32,63,1,126.0,4,25276,2,4,1,1,0,1
33,77,1,149.4,9,25317,16,4,2,0,0,1
34,4,0,198.0,2,23398,6,4,1,2,1,1
35,90,3,95.0,9,34981,5,3,5,1,0,1
36,0,0,98.8,9,23275,7,3,1,1,0,1
37,14,1,138.25,2,25864,17,4,4,0,0,1
38,22,0,59.09,12,312,26,4,1,2,0,1
39,174,0,94.5,7,9596,31,4,0,2,3,0
40,5,0,71.8,12,25466,5,3,1,2,0,1
41,122,0,85.0,4,17370,15,3,1,0,0,1
42,0,0,89.0,5,2572,9,4,0,1,3,1
43,190,0,95.0,6,8907,22,3,4,1,0,1
44,92,1,63.75,12,11167,1,4,15,4,0,0
45,181,1,85.5,7,10004,8,4,1,0,3,0
46,277,0,79.57,9,32286,5,3,5,2,1,1
47,0,1,104.0,11,2903,2,4,1,1,0,1
48,40,0,96.3,10,30105,11,3,3,0,0,1
49,171,0,80.75,7,14472,11,4,4,1,3,0
50,4,0,87.0,2,20877,7,3,0,2,0,1
51,4,0,90.78,12,18775,9,4,3,2,0,1
52,11,1,76.29,11,28747,27,4,2,2,3,0
53,187,0,80.75,9,19323,12,3,4,1,0,1
54,64,1,200.1,8,3450,6,4,1,1,0,1
55,195,1,82.45,6,26920,30,3,2,0,0,1
56,33,0,126.9,5,12624,2,4,1,1,0,0
57,34,1,72.76,10,18757,7,4,3,0,0,1
58,14,0,105.0,7,19969,21,2,2,0,0,1
59,82,1,90.95,10,29138,10,3,3,1,0,1
60,31,1,108.9,5,17829,24,4,2,0,0,1
61,2,0,94.0,8,2620,3,2,2,0,0,1
62,116,0,61.0,2,35145,28,3,1,2,0,0
63,169,0,106.0,4,4784,22,4,2,2,1,0
64,10,1,85.0,9,13839,5,3,1,0,0,1
65,34,2,94.5,10,5399,6,4,3,0,0,1
66,9,1,140.0,10,15433,16,4,2,2,3,0
67,248,0,106.0,10,26230,31,2,2,1,0,0
68,238,1,178.2,6,4667,18,4,1,0,0,0
69,8,1,103.0,3,4219,11,4,2,1,0,1
70,70,1,64.67,4,32680,3,4,4,2,0,1
71,131,1,83.83,6,33387,26,4,3,2,0,1
72,17,0,83.2,11,24157,27,4,3,2,0,0
73,37,3,216.9,7,11145,7,4,1,0,0,1
74,177,0,100.0,6,2222,3,4,2,0,0,0
75,68,2,121.5,7,14256,24,4,1,2,0,1
76,286,1,117.0,9,35828,16,3,2,0,1,0
77,21,1,58.0,12,11095,25,3,3,2,0,1
78,13,1,88.4,12,17122,18,4,2,2,0,1
79,36,1,103.5,10,35786,18,4,2,2,0,1
80,3,0,163.67,8,33475,23,4,3,0,0,0
81,19,1,89.89,12,4489,6,4,4,0,0,1
82,90,1,74.8,12,8803,24,4,3,2,3,1
83,3,0,72.5,7,21019,11,3,1,2,1,1
84,25,1,105.0,9,23392,5,4,1,0,0,0
85,39,0,101.5,8,21510,14,3,2,0,1,1
86,19,1,79.0,2,25886,25,4,3,0,3,0
87,151,1,97.75,8,10815,11,4,3,2,0,1
88,125,1,128.69,6,7077,17,4,3,2,0,1
89,320,1,115.0,8,16936,18,3,2,0,1,0
90,72,0,75.82,6,5531,26,4,2,2,0,1
91,46,0,60.0,11,8040,3,3,2,0,0,1
92,151,1,120.7,7,22258,6,4,4,1,0,0
93,30,0,140.0,6,5746,2,3,2,0,0,1
94,16,1,97.02,9,7610,30,4,1,0,0,1
95,58,2,85.5,10,29447,30,4,1,0,0,1
96,207,0,80.75,7,20121,28,4,4,2,3,0
97,131,1,105.3,7,12157,4,4,2,1,0,1
98,0,0,149.0,5,15701,26,4,3,0,3,1
99,26,2,133.5,9,35738,12,4,1,1,0,1
100,9,1,151.67,8,4938,26,4,2,1,0,0
101,301,0,109.0,7,3858,30,4,1,1,1,0
102,37,0,71.55,2,7817,12,4,2,1,0,1
103,1,0,120.0,11,17216,23,4,1,0,0,1
104,44,0,75.6,10,21232,25,4,0,2,0,1
105,117,2,136.85,7,23504,8,4,3,2,0,1
106,145,0,118.8,9,17509,16,4,2,2,3,0
107,56,1,116.1,5,36018,13,4,2,1,3,1
108,327,0,88.0,9,7004,9,3,4,2,1,1
109,0,2,0.0,3,1575,21,1,1,1,0,1
110,304,0,89.0,11,6341,3,4,3,0,0,0
111,31,0,70.0,2,21829,4,2,2,0,0,0
112,97,0,80.75,5,7201,29,3,3,2,0,1
